customer_id,frequency,monetary_value
142,10,96.25
143,4,20.37
144,2,28.6
145,7,48.1
146,6,30.66
147,5,35.46
148,4,37.17
149,6,37.25
150,4,76.79
151,7,30.1
152,5,56.83
153,5,103.19
154,11,65.34
155,6,48.06
156,6,58.27
157,8,61.9
158,6,123.22
159,3,13.37
160,6,91.47
161,2,49.17
162,6,10.65
163,4,99.0
164,6,108.61
165,6,55.79
166,10,46.19
167,4,26.26
168,5,51.72
169,5,47.88
170,6,33.87
171,4,176.53
172,2,52.6
173,3,26.85
174,5,44.67
175,4,137.1
176,5,65.9
177,7,26.24
178,9,37.85
179,2,45.36
180,7,15.29
181,8,83.98
182,7,59.41
183,5,48.38
184,4,96.1
185,5,51.82
186,2,70.48
187,6,42.74
188,8,42.72
189,2,80.8
190,4,55.05
191,2,89.21
192,5,65.47
193,5,35.44
194,8,143.45
195,4,77.03
196,5,24.04
197,8,95.35
198,6,74.2
199,5,35.07
200,4,103.71
201,5,23.77
202,8,17.3
203,1,82.16
204,5,63.05
205,4,12.09
206,4,67.37
207,5,16.39
208,4,69.05
209,7,100.37
210,4,44.1
211,4,163.84
212,4,22.26
213,6,64.27
214,7,53.27
215,4,36.5
216,3,26.58
217,7,22.78
218,4,73.73
219,4,55.85
220,7,55.75
221,5,83.08
222,4,31.56
223,6,20.6
224,7,40.25
225,5,101.21
226,7,181.13
227,4,44.12
228,2,71.69
229,4,55.12
230,4,33.86
231,4,51.31
232,3,41.63
233,8,59.09
234,4,73.04
235,1,82.17
236,2,86.78
237,3,31.32
238,7,23.09
239,7,52.03
240,6,159.37
241,5,35.9
242,4,61.45
243,2,39.82
244,6,39.91
245,4,40.32
246,6,63.05
247,3,28.45
248,9,73.66
249,6,46.75
250,8,85.63
251,9,30.93
252,4,104.86
253,7,54.03
254,4,85.22
255,4,28.43
256,6,18.61
257,8,24.75
258,3,17.41
259,4,106.11
260,7,53.1
261,3,108.7
262,5,30.26
263,9,49.04
264,6,58.07
265,6,13.92
266,4,52.44
267,5,134.68
268,4,27.38
269,6,29.17
270,2,56.72
271,3,24.27
272,5,87.76
273,5,28.59
274,4,32.76
275,6,31.01
276,4,68.9
277,4,88.64
278,4,34.9
279,7,31.26
280,4,51.36
281,5,32.73
282,6,140.89
283,6,96.96
284,6,27.83
285,6,68.4
286,7,54.41
287,5,45.08
288,7,50.41
289,5,8.53
290,4,103.78
291,7,120.05
292,2,41.25
293,6,72.35
294,8,62.74
295,5,77.52
296,4,64.93
297,6,59.8
298,6,66.25
299,2,138.71
300,4,453.9
301,2,130.98
302,3,32.78
303,3,54.52
304,8,71.83
305,6,111.95
306,4,57.46
307,4,73.45
308,3,46.46
309,5,10.29
310,2,43.86
311,6,32.35
312,4,51.38
313,5,82.73
314,4,120.61
315,2,58.21
316,4,35.67
317,4,71.86
318,4,48.02
319,7,24.02
320,5,56.96
321,8,28.06
322,9,24.98
323,5,27.63
324,4,40.48
325,5,52.48
326,3,63.02
327,3,50.5
328,2,42.14
329,5,61.55
330,6,88.64
331,6,25.6
332,3,29.59
333,4,153.8
334,7,28.59
335,3,62.06
336,4,70.11
337,5,52.89
338,4,67.13
339,8,68.06
340,4,118.4
341,5,77.75
342,6,59.95
343,5,37.68
344,9,86.49
345,3,15.7
346,5,15.81
347,3,116.37
348,2,53.43
349,4,48.43
350,6,79.65
351,5,136.4
352,8,104.89
353,4,37.98
354,2,58.47
355,2,43.33
356,1,58.56
357,4,80.85
358,7,38.93
359,5,72.27
360,6,30.87
361,3,53.35
362,4,75.48
363,7,44.9
364,4,66.17
365,5,43.3
366,2,75.56
367,3,17.42
368,4,24.21
369,2,72.91
370,7,51.98
371,5,92.21
372,3,32.58
373,4,59.2
374,4,61.7
375,5,72.87
376,3,55.04
377,7,23.52
378,6,86.12
379,1,30.44
380,6,154.82
381,5,47.04
382,6,22.36
383,8,33.18
384,10,58.63
385,5,117.97
386,1,65.81
387,5,87.65
388,3,39.89
389,4,20.38
390,8,16.24
391,4,17.4
392,2,54.4
393,7,29.04
394,7,20.62
395,4,53.7
396,7,80.03
397,4,65.51
398,3,38.95
399,4,103.79
400,6,424.36
401,8,136.5
402,5,66.85
403,4,148.67
404,11,233.02
405,9,25.03
406,3,41.66
407,1,17.53
408,5,42.5
409,6,24.54
410,8,26.64
411,3,26.28
412,4,20.23
413,5,73.03
414,6,48.48
415,4,20.65
416,5,55.9
417,4,28.54
418,4,26.8
419,3,118.78
420,1,105.35
421,6,93.95
422,2,62.7
423,7,54.78
424,7,45.41
425,1,29.79
426,6,48.86
427,5,63.53
428,1,46.04
429,3,51.17
430,7,33.21
431,7,78.91
432,7,46.79
433,7,37.32
434,2,86.62
435,4,38.79
436,3,115.74
437,6,26.73
438,7,24.54
439,7,96.22
440,8,9.52
441,5,91.97
442,2,89.31
443,4,46.55
444,3,43.88
445,5,16.49
446,5,12.48
447,5,29.11
448,4,41.08
449,2,192.88
450,3,24.64
451,8,64.99
452,3,44.19
453,3,44.83
454,4,90.33
455,6,21.96
456,6,18.27
457,3,75.38
458,5,78.27
459,6,58.41
460,8,49.58
461,4,32.21
462,4,33.89
463,7,59.14
464,4,73.52
465,6,62.3
466,2,37.6
467,3,37.62
468,9,55.55
469,2,82.06
470,3,75.94
471,2,103.66
472,4,36.1
473,4,96.54
474,9,150.25
475,9,79.27
476,6,124.36
477,5,104.48
478,6,129.46
479,9,15.49
480,4,72.94
481,5,24.27
482,7,76.37
483,5,38.18
484,6,47.17
485,4,45.4
486,7,45.83
487,3,39.78
488,5,59.48
489,5,59.57
490,4,198.5
491,3,23.22
492,10,7.76
493,8,37.93
494,4,11.46
495,6,29.18
496,3,67.57
497,6,103.82
498,5,38.27
499,4,63.6
500,5,332.75
501,3,34.64
502,5,32.8
503,7,36.06
504,5,24.67
505,5,16.99
506,4,44.08
507,5,32.85
508,4,82.11
509,6,56.39
510,9,62.0
511,2,92.7
512,4,94.94
513,5,77.11
514,2,47.35
515,5,153.9
516,6,42.08
517,7,99.68
518,3,24.75
519,5,12.09
520,3,51.12
521,10,70.07
522,5,71.64
523,3,68.39
524,7,12.14
525,3,29.88
526,7,21.37
527,3,19.48
528,7,12.61
529,5,41.62
530,6,49.05
531,5,33.43
532,6,44.45
533,4,31.61
534,3,22.96
535,6,44.35
536,9,82.87
537,7,73.51
538,5,50.31
539,7,68.25
540,2,107.13
541,5,97.33
542,3,118.64
543,3,39.25
544,4,71.04
545,3,42.47
546,2,47.59
547,2,54.35
548,6,45.82
549,3,83.08
550,5,11.22
551,2,35.79
552,3,26.1
553,5,15.83
554,5,50.24
555,6,40.87
556,7,70.67
557,3,33.68
558,8,167.95
559,5,35.6
560,5,27.89
561,4,34.14
562,8,15.46
563,5,37.97
564,2,96.61
565,6,64.68
566,3,25.45
567,5,143.28
568,4,60.0
569,5,31.29
570,8,29.42
571,3,33.29
572,5,61.26
573,5,77.36
574,3,101.41
575,4,57.84
576,4,35.35
577,9,44.47
578,5,60.73
579,8,26.36
580,5,187.84
581,2,34.99
582,6,147.07
583,8,52.7
584,6,42.02
585,7,48.41
586,3,50.51
587,4,65.16
588,4,46.67
589,4,91.23
590,7,15.09
591,4,26.39
592,8,86.71
593,3,58.01
594,6,51.85
595,7,30.53
596,3,72.65
597,4,36.29
598,4,85.93
599,5,68.49
600,8,340.96
601,6,58.23
602,4,35.69
603,3,37.62
604,5,49.02
605,2,130.1
606,4,142.39
607,4,39.82
608,2,46.51
609,6,92.07
610,1,9.89
611,5,26.67
612,6,38.21
613,7,29.06
614,6,20.93
615,6,102.96
616,4,63.12
617,5,27.6
618,7,126.2
619,6,188.99
620,3,20.14
621,8,24.64
622,5,52.17
623,3,77.11
624,4,57.45
625,4,61.17
626,7,96.68
627,3,157.18
628,3,109.7
629,4,110.0
630,3,102.03
631,10,65.08
632,4,46.24
633,5,73.78
634,7,59.7
635,5,107.55
636,4,82.38
637,7,38.69
638,3,47.59
639,7,58.36
640,5,66.13
641,7,48.82
642,5,65.18
643,2,46.95
644,5,136.76
645,7,70.32
646,5,90.18
647,5,92.95
648,2,32.88
649,6,53.83
650,4,95.4
651,5,71.26
652,5,96.46
653,5,42.12
654,1,20.31
655,4,58.36
656,4,44.46
657,4,49.93
658,7,39.84
659,10,27.4
660,6,108.24
661,3,61.4
662,7,20.69
663,2,26.02
664,4,23.48
665,5,46.98
666,1,60.86
667,8,19.62
668,4,16.28
669,6,21.78
670,5,13.59
671,5,51.88
672,4,59.52
673,6,94.83
674,5,19.05
675,6,38.95
676,3,72.73
677,3,24.68
678,4,100.25
679,4,25.64
680,6,51.86
681,4,45.69
682,7,75.25
683,6,51.27
684,7,72.84
685,9,128.53
686,6,28.09
687,6,50.53
688,6,73.32
689,1,81.89
690,8,23.19
691,4,93.49
692,6,37.32
693,4,64.28
694,3,138.71
695,9,42.22
696,5,33.47
697,8,236.72
698,4,24.41
699,6,10.32
700,2,271.34
701,2,127.02
702,5,66.0
703,3,38.92
704,4,76.81
705,2,50.79
706,3,36.57
707,5,31.67
708,9,45.29
709,4,87.26
710,6,52.35
711,1,50.0
712,5,67.24
713,7,27.06
714,6,35.22
715,3,23.46
716,3,49.98
717,3,51.44
718,5,38.48
719,8,104.68
720,5,26.23
721,7,44.29
722,4,111.04
723,5,48.73
724,4,43.53
725,6,57.9
726,3,5.36
727,10,67.05
728,4,50.3
729,6,53.75
730,5,70.59
731,4,69.8
732,8,47.83
733,4,50.2
734,2,24.71
735,1,67.33
736,7,62.41
737,6,15.6
738,4,75.62
739,4,36.53
740,6,45.34
741,3,54.83
742,6,73.73
743,6,19.88
744,7,72.18
745,7,36.29
746,3,79.56
747,6,95.84
748,4,60.09
749,6,12.39
750,4,36.13
751,5,36.08
752,6,27.58
753,4,119.36
754,4,75.66
755,3,36.89
756,4,24.48
757,5,35.29
758,7,80.99
759,3,52.69
760,6,49.91
761,7,68.34
762,7,122.05
763,4,10.64
764,6,54.9
765,7,131.44
766,4,6.32
767,4,55.95
768,6,95.69
769,2,41.14
770,7,35.62
771,6,96.96
772,7,90.43
773,4,97.04
774,3,39.77
775,5,51.14
776,6,61.21
777,3,13.75
778,7,8.62
779,3,73.46
780,5,78.78
781,4,57.49
782,1,35.39
783,6,102.33
784,4,139.4
785,6,64.6
786,6,107.21
787,4,23.06
788,5,63.22
789,6,70.28
790,6,29.38
791,5,79.21
792,6,62.49
793,2,47.73
794,3,28.73
795,2,110.51
796,5,21.84
797,11,47.61
798,6,57.98
799,7,67.9
800,4,230.68
801,4,25.46
802,2,131.48
803,5,60.93
804,6,55.91
805,4,45.46
806,6,34.48
807,2,80.71
808,6,57.92
809,3,53.07
810,8,58.66
811,2,42.84
812,6,70.96
813,4,55.18
814,2,43.85
815,7,77.08
816,6,20.87
817,9,76.97
818,5,125.45
819,5,61.78
820,4,31.19
821,4,77.6
822,6,15.83
823,4,117.25
824,3,33.59
825,2,21.65
826,4,22.09
827,3,27.03
828,9,18.69
829,8,57.57
830,2,23.38
831,2,54.57
832,3,44.89
833,3,54.48
834,4,148.74
835,5,20.02
836,6,79.68
837,4,45.99
838,3,41.12
839,5,78.43
840,5,66.89
841,6,55.0
842,8,76.9
843,5,45.12
844,4,41.31
845,5,50.16
846,4,66.6
847,2,34.18
848,3,100.66
849,5,52.4
850,7,20.65
851,5,55.0
852,3,118.29
853,3,47.11
854,5,29.4
855,7,35.13
856,2,55.21
857,4,25.94
858,5,30.58
859,3,54.8
860,4,105.83
861,4,74.78
862,3,76.0
863,6,31.89
864,4,125.06
865,3,45.46
866,5,27.58
867,5,29.09
868,6,63.87
869,8,86.88
870,4,84.4
871,3,97.76
872,4,9.01
873,6,92.3
874,5,19.43
875,7,64.74
876,5,19.61
877,5,28.16
878,6,98.88
879,6,63.26
880,3,48.67
881,4,29.5
882,3,7.04
883,4,13.56
884,5,43.26
885,4,37.17
886,7,54.05
887,5,53.79
888,6,21.82
889,6,45.37
890,5,16.09
891,7,68.61
892,3,85.37
893,5,90.3
894,6,41.6
895,3,23.35
896,9,46.48
897,2,14.39
898,3,60.9
899,4,13.23
900,4,167.22
901,6,32.0
902,9,55.59
903,5,52.04
904,6,19.36
905,4,79.16
906,3,33.98
907,6,72.2
908,6,68.5
909,4,40.62
910,4,95.89
911,6,52.06
912,4,14.1
913,3,83.72
914,4,91.87
915,3,111.68
916,4,26.91
917,5,95.04
918,5,11.57
919,2,46.23
920,5,115.48
921,8,56.91
922,5,25.29
923,6,41.14
924,7,5.9
925,7,123.45
926,9,43.85
927,3,17.39
928,4,38.52
929,7,97.54
930,2,37.37
931,6,41.04
932,1,83.23
933,3,35.02
934,8,77.88
935,7,82.4
936,4,27.29
937,3,44.92
938,3,104.63
939,6,77.69
940,4,56.43
941,7,70.42
942,2,14.21
943,6,38.28
944,6,31.2
945,4,43.28
946,3,128.87
947,9,15.82
948,4,28.9
949,2,47.36
950,7,17.85
951,4,48.37
952,6,139.65
953,4,41.31
954,5,26.27
955,6,56.76
956,6,58.36
957,4,23.19
958,5,41.38
959,3,32.07
960,6,87.37
961,6,91.41
962,1,52.68
963,4,20.9
964,7,83.67
965,4,20.28
966,2,134.43
967,3,110.06
968,3,93.47
969,6,63.51
970,4,61.9
971,2,47.98
972,1,126.64
973,8,19.87
974,6,91.57
975,7,58.92
976,6,19.73
977,4,57.88
978,4,80.84
979,6,32.49
980,6,34.51
981,9,52.41
982,7,57.3
983,6,47.89
984,2,77.03
985,6,35.43
986,8,81.64
987,3,147.38
988,6,25.19
989,5,102.21
990,2,121.12
991,5,18.71
992,2,79.06
993,6,59.56
994,6,40.91
995,5,28.15
996,7,70.46
997,6,109.81
998,7,74.68
999,6,49.17
1000,6,496.6
1001,6,79.36
1002,7,80.33
1003,4,48.62
1004,4,71.73
1005,5,55.6
1006,8,14.21
1007,7,36.27
1008,8,50.92
1009,3,86.49
1010,8,67.42
1011,4,40.0
1012,5,22.68
1013,5,35.34
1014,5,56.63
1015,4,22.13
1016,4,52.47
1017,4,91.54
1018,5,34.15
1019,3,16.92
1020,2,209.72
1021,4,9.07
1022,2,62.77
1023,7,15.91
1024,3,6.21
1025,6,66.69
1026,7,79.42
1027,5,55.09
1028,4,30.77
1029,4,140.14
1030,4,28.01
1031,4,78.46
1032,5,134.59
1033,6,28.54
1034,5,36.92
1035,3,105.12
1036,4,104.33
1037,3,65.04
1038,5,29.1
1039,4,78.44
1040,5,17.81
1041,5,69.46
1042,3,93.43
1043,5,48.52
1044,4,95.99
1045,6,83.87
1046,2,12.56
1047,5,58.84
1048,7,25.61
1049,6,56.77
1050,7,7.83
1051,3,71.1
1052,4,85.45
1053,4,33.19
1054,8,84.38
1055,6,91.97
1056,3,53.36
1057,4,63.48
1058,5,22.93
1059,6,68.84
1060,5,41.47
1061,5,100.53
1062,4,22.64
1063,5,97.9
1064,6,47.4
1065,7,96.54
1066,2,17.71
1067,4,18.99
1068,3,55.63
1069,8,107.84
1070,6,74.05
1071,8,170.72
1072,4,75.57
1073,4,78.03
1074,7,58.08
1075,2,121.58
1076,3,64.49
1077,4,49.03
1078,3,82.74
1079,3,79.76
1080,3,49.44
1081,4,36.35
1082,4,61.23
1083,5,32.12
1084,6,66.94
1085,4,18.75
1086,5,85.15
1087,2,97.44
1088,3,36.77
1089,1,52.79
1090,3,78.91
1091,5,31.86
1092,4,29.65
1093,4,48.32
1094,7,28.62
1095,7,41.82
1096,6,20.79
1097,3,108.87
1098,4,48.74
1099,6,38.34
1100,2,209.7
1101,5,168.67
1102,3,140.53
1103,6,16.21
1104,5,28.42
1105,6,85.26
1106,6,35.25
1107,3,83.59
1108,5,24.5
1109,8,14.93
1110,4,93.43
1111,5,65.37
1112,4,27.13
1113,4,44.74
1114,4,62.44
1115,2,50.83
1116,6,39.78
1117,5,26.06
1118,8,79.57
1119,3,87.59
1120,6,50.25
1121,3,47.51
1122,6,103.52
1123,6,38.17
1124,5,76.21
1125,4,40.43
1126,4,136.83
1127,6,49.65
1128,6,16.53
1129,5,88.38
1130,5,99.15
1131,3,98.86
1132,5,106.72
1133,5,152.72
1134,3,18.8
1135,6,27.5
1136,4,131.99
1137,4,81.23
1138,4,33.44
1139,4,91.51
1140,3,111.08
1141,5,74.3
1142,5,29.88
1143,3,35.32
1144,6,138.17
1145,3,32.02
1146,7,39.64
1147,5,41.84
1148,4,21.69
1149,3,10.26
1150,6,92.8
1151,5,79.75
1152,5,183.62
1153,6,14.24
1154,7,28.54
1155,7,74.13
1156,2,33.68
1157,5,58.23
1158,5,33.49
1159,7,53.98
1160,3,31.18
1161,4,70.75
1162,3,73.44
1163,4,14.15
1164,8,47.74
1165,3,48.9
1166,10,57.4
1167,8,52.19
1168,5,38.33
1169,3,66.52
1170,6,41.06
1171,2,10.66
1172,4,22.18
1173,6,69.31
1174,4,53.07
1175,11,18.79
1176,6,46.31
1177,2,66.49
1178,4,116.39
1179,3,44.82
1180,4,43.01
1181,2,16.59
1182,6,36.26
1183,6,66.62
1184,8,28.02
1185,3,33.11
1186,4,28.49
1187,3,58.17
1188,5,50.61
1189,5,22.03
1190,5,60.52
1191,1,82.84
1192,6,59.4
1193,6,103.74
1194,6,7.14
1195,5,95.42
1196,8,50.73
1197,5,39.41
1198,8,59.96
1199,5,26.86
1200,3,142.64
1201,2,67.98
1202,8,63.29
1203,8,80.42
1204,6,68.49
1205,7,103.01
1206,7,53.62
1207,7,44.64
1208,5,104.47
1209,3,69.1
1210,4,18.87
1211,3,221.79
1212,6,49.78
1213,2,29.8
1214,3,40.68
1215,5,50.73
1216,4,49.49
1217,9,54.39
1218,5,14.49
1219,8,31.59
1220,6,80.09
1221,6,129.87
1222,3,121.39
1223,2,22.14
1224,5,69.41
1225,2,62.86
1226,4,151.7
1227,3,110.12
1228,5,40.47
1229,5,84.24
1230,3,38.71
1231,3,131.19
1232,8,40.5
1233,7,21.13
1234,3,42.2
1235,4,79.73
1236,4,56.57
1237,5,61.21
1238,3,57.47
1239,3,44.39
1240,7,41.8
1241,6,44.79
1242,4,34.27
1243,6,82.6
1244,2,37.9
1245,3,48.26
1246,12,72.48
1247,7,99.77
1248,4,67.47
1249,3,95.32
1250,4,124.64
1251,8,15.85
1252,1,73.64
1253,7,4.28
1254,6,97.84
1255,3,124.84
1256,8,10.15
1257,6,43.87
1258,4,55.09
1259,5,86.88
1260,4,21.89
1261,5,87.51
1262,7,36.85
1263,4,64.39
1264,3,110.28
1265,4,11.82
1266,6,37.88
1267,4,110.85
1268,9,35.94
1269,4,24.84
1270,5,142.43
1271,5,49.7
1272,5,64.28
1273,7,42.45
1274,12,58.09
1275,7,128.79
1276,7,150.69
1277,3,152.86
1278,11,37.53
1279,3,31.82
1280,3,63.45
1281,4,112.16
1282,3,80.44
1283,5,137.58
1284,6,43.41
1285,5,51.19
1286,7,47.85
1287,5,131.19
1288,8,3.34
1289,2,35.0
1290,5,71.21
1291,6,36.12
1292,3,60.99
1293,5,11.67
1294,5,70.39
1295,6,79.94
1296,7,103.45
1297,5,52.77
1298,5,116.09
1299,5,21.67
1300,7,157.84
1301,9,74.3
1302,5,67.38
1303,8,35.55
1304,7,29.42
1305,3,92.35
1306,1,45.97
1307,7,76.79
1308,4,55.63
1309,3,24.21
1310,4,94.5
1311,3,101.0
1312,4,83.18
1313,8,46.18
1314,5,101.32
1315,3,30.76
1316,4,72.89
1317,6,65.23
1318,6,44.29
1319,10,42.41
1320,4,76.36
1321,2,54.07
1322,5,8.17
1323,7,29.65
1324,4,50.86
1325,6,15.95
1326,6,27.84
1327,6,150.69
1328,3,29.16
1329,4,75.83
1330,7,52.04
1331,5,17.41
1332,5,23.82
1333,3,91.81
1334,4,87.22
1335,6,25.15
1336,5,54.31
1337,2,35.77
1338,8,71.62
1339,7,32.27
1340,6,50.07
1341,3,22.16
1342,2,91.16
1343,2,10.7
1344,6,53.72
1345,3,85.94
1346,6,96.61
1347,6,30.03
1348,4,10.29
1349,2,56.31
1350,5,10.46
1351,6,23.32
1352,5,53.2
1353,5,52.0
1354,4,90.23
1355,6,82.16
1356,2,47.0
1357,4,127.57
1358,2,24.26
1359,3,87.88
1360,3,32.88
1361,6,79.78
1362,7,33.25
1363,8,101.82
1364,6,41.19
1365,2,53.39
1366,8,66.95
1367,7,31.01
1368,7,108.8
1369,6,80.18
1370,5,84.89
1371,6,28.76
1372,6,96.61
1373,3,60.8
1374,6,20.44
1375,4,43.55
1376,3,114.47
1377,5,30.73
1378,6,75.39
1379,5,86.34
1380,5,77.17
1381,5,44.98
1382,7,34.78
1383,6,43.36
1384,4,3.9
1385,4,73.17
1386,7,38.86
1387,4,222.4
1388,5,107.3
1389,8,51.49
1390,3,43.21
1391,6,10.94
1392,4,105.72
1393,6,79.05
1394,3,33.84
1395,4,70.11
1396,8,64.25
1397,3,18.06
1398,8,58.35
1399,2,120.66
1400,4,270.52
1401,7,127.67
1402,4,52.0
1403,6,159.49
1404,7,59.55
1405,5,54.81
1406,2,50.99
1407,2,141.89
1408,3,69.78
1409,5,44.28
1410,5,87.02
1411,2,144.32
1412,9,49.71
1413,5,51.53
1414,5,13.34
1415,4,27.92
1416,2,40.9
1417,7,118.96
1418,4,45.27
1419,5,66.38
1420,3,75.98
1421,2,35.37
1422,5,17.76
1423,5,92.91
1424,5,10.24
1425,7,58.52
1426,4,77.94
1427,5,48.66
1428,5,16.05
1429,4,29.7
1430,6,78.08
1431,2,47.2
1432,3,46.1
1433,6,53.68
1434,6,47.6
1435,5,63.05
1436,5,16.03
1437,2,65.46
1438,6,62.42
1439,6,37.09
1440,6,13.92
1441,5,222.95
1442,6,100.96
1443,8,40.31
1444,9,56.93
1445,4,93.03
1446,4,41.35
1447,4,40.04
1448,8,118.05
1449,7,10.52
1450,3,40.41
1451,5,161.31
1452,8,15.76
1453,2,45.02
1454,6,101.41
1455,6,37.39
1456,3,85.58
1457,2,25.51
1458,1,59.13
1459,2,74.9
1460,3,180.76
1461,2,83.15
1462,7,35.84
1463,6,42.31
1464,8,57.64
1465,3,36.26
1466,6,30.67
1467,6,38.8
1468,5,83.43
1469,11,69.86
1470,6,41.96
1471,7,64.34
1472,4,47.45
1473,8,83.96
1474,5,20.03
1475,8,28.4
1476,5,84.46
1477,6,85.08
1478,11,152.35
1479,4,14.77
1480,1,84.72
1481,4,26.53
1482,6,40.38
1483,4,128.02
1484,3,58.65
1485,5,59.96
1486,6,58.14
1487,5,26.92
1488,1,83.02
1489,7,24.44
1490,6,50.9
1491,4,120.96
1492,6,143.36
1493,4,20.71
1494,3,126.31
1495,7,32.8
1496,4,95.41
1497,7,30.38
1498,1,28.42
1499,4,107.45
1500,4,468.03
1501,5,40.06
1502,7,64.93
1503,3,77.34
1504,4,16.98
1505,7,58.0
1506,5,62.54
1507,4,97.21
1508,5,67.89
1509,4,103.65
1510,3,36.1
1511,6,47.64
1512,4,65.28
1513,2,184.13
1514,3,40.32
1515,2,95.41
1516,4,75.97
1517,5,99.79
1518,5,52.94
1519,5,27.34
1520,7,77.37
1521,4,33.96
1522,5,41.3
1523,5,58.84
1524,8,46.45
1525,4,73.91
1526,9,48.96
1527,4,100.21
1528,8,106.69
1529,4,58.33
1530,7,70.24
1531,6,52.21
1532,5,88.72
1533,1,124.06
1534,10,36.35
1535,2,23.56
1536,6,43.31
1537,4,62.92
1538,2,64.49
1539,6,63.48
1540,5,12.48
1541,10,42.44
1542,10,10.55
1543,5,51.26
1544,8,39.81
1545,1,82.9
1546,7,71.96
1547,9,42.3
1548,3,150.58
1549,6,105.78
1550,6,102.29
1551,6,56.15
1552,4,79.01
1553,7,105.09
1554,3,125.53
1555,6,114.46
1556,4,75.1
1557,4,38.63
1558,4,78.31
1559,8,70.26
1560,6,106.59
1561,4,74.06
1562,8,34.83
1563,2,44.06
1564,7,72.62
1565,3,27.37
1566,6,58.74
1567,2,46.38
1568,6,63.09
1569,2,25.11
1570,3,49.39
1571,2,68.93
1572,6,32.38
1573,6,36.75
1574,4,12.79
1575,5,44.64
1576,7,95.54
1577,3,78.22
1578,2,17.11
1579,7,36.98
1580,8,124.77
1581,4,74.85
1582,3,114.71
1583,3,70.32
1584,7,26.39
1585,7,28.04
1586,2,45.52
1587,7,54.89
1588,4,79.39
1589,7,33.81
1590,6,91.64
1591,4,59.08
1592,6,52.19
1593,3,67.52
1594,3,133.4
1595,7,36.61
1596,4,49.9
1597,6,124.84
1598,6,103.74
1599,3,58.58
1600,7,410.8
1601,1,69.35
1602,4,60.1
1603,4,103.53
1604,7,50.66
1605,7,112.15
1606,7,17.45
1607,4,37.79
1608,4,45.64
1609,6,39.14
1610,6,78.39
1611,7,96.37
1612,8,84.25
1613,3,46.22
1614,2,14.72
1615,2,67.18
1616,9,116.5
1617,7,17.44
1618,3,38.67
1619,2,98.56
1620,11,103.24
1621,2,62.61
1622,3,33.55
1623,4,26.23
1624,4,29.14
1625,6,102.78
1626,4,27.32
1627,7,52.97
1628,5,25.54
1629,5,85.85
1630,3,64.09
1631,7,36.47
1632,6,39.6
1633,8,43.92
1634,4,145.93
1635,2,26.99
1636,1,44.63
1637,5,40.69
1638,9,97.87
1639,5,70.95
1640,3,65.23
1641,2,36.55
1642,4,200.87
1643,8,75.73
1644,3,112.91
1645,6,46.7
1646,1,89.79
1647,5,61.02
1648,6,9.31
1649,3,70.7
1650,4,54.84
1651,9,47.98
1652,3,44.32
1653,4,40.07
1654,4,64.21
1655,4,77.29
1656,5,59.08
1657,10,79.7
1658,3,52.41
1659,4,41.28
1660,4,29.16
1661,6,52.22
1662,4,87.68
