antiguedad,gasto,soporte,satisfaccion,churn_real
57,52.724922709478946,1,4,0
38,77.97652890278877,1,5,0
67,381.5995594593144,3,4,0
11,268.4882326246856,1,2,1
70,407.3986933539616,2,4,0
3,418.4870763750457,3,4,1
2,75.28406455477307,1,3,0
5,453.5166614241977,1,3,0
16,125.42620180562871,2,5,0
56,56.85321588013211,0,5,0
32,182.51160778977624,1,2,1
62,468.18141409575117,0,4,0
4,435.4247743964304,0,2,1
68,234.09117847941548,0,5,0
26,345.07927510097534,1,5,0
49,321.754828787386,0,2,1
51,78.90389063472526,3,4,1
13,101.88150938337854,2,3,0
52,31.11385709050367,1,3,0
64,392.6764733033266,1,4,0
60,234.0784679845003,1,3,0
45,482.84169344524025,3,2,1
56,110.9229293578822,1,3,0
48,189.7128457454004,1,1,0
59,277.04615359442516,1,3,0
27,382.83768602094415,2,3,0
55,400.9293292620616,0,2,1
44,386.73560729027224,1,3,0
5,385.13269211358124,1,5,0
58,312.40091841345907,0,5,0
52,464.13830243211925,3,4,0
71,297.9759767119553,0,4,0
9,152.97644400501613,2,4,0
57,300.70099656234885,0,4,0
4,443.6057916679831,1,4,0
56,368.7010937900578,0,5,0
63,407.26616815059583,2,3,0
26,195.67195534348258,2,1,0
45,175.83109309274187,1,4,0
53,298.17577203128167,1,5,0
15,89.52574077688205,0,2,1
11,482.76778773607504,1,2,0
3,352.8609521069849,0,5,0
7,71.92177038928034,1,5,0
59,307.78878913960637,0,4,0
36,495.48600922991466,2,4,0
66,388.3225876412254,1,3,0
24,318.1280765451448,2,2,1
62,425.5140802087361,0,4,0
3,462.55592587442123,2,4,1
4,352.1111039803123,1,3,0
2,86.08100766913844,0,5,0
44,415.5434924328526,2,4,0
24,262.2775308272903,2,3,0
46,173.804267042576,2,3,0
18,95.67335843752437,0,5,0
66,444.63023461339566,2,2,1
48,116.55142812077563,0,4,0
60,226.05658997917362,0,4,0
50,498.95055662391746,1,3,0
33,464.78888877438277,1,5,0
59,244.43274728271828,1,5,0
32,122.67959773288788,0,3,0
70,390.5458417893579,0,4,0
6,422.97620561078037,4,5,1
12,158.39319404766528,0,3,0
38,219.75010446162213,1,5,0
23,131.13488327442528,0,5,0
29,478.58707336425186,0,5,0
37,86.16636300037547,3,2,1
1,391.1404258163259,2,5,0
23,260.0089948720376,0,2,0
20,391.81148046130687,1,5,0
51,36.870044475801166,0,2,1
9,492.18747637223555,0,1,1
20,169.7685707666738,1,4,0
60,426.3672636076829,1,5,0
22,388.43767280857054,0,2,0
2,34.54703141823099,0,4,0
1,416.48952887473456,0,5,0
69,352.5262755554215,0,4,0
53,87.83247697871965,1,2,1
70,484.9688800900771,0,4,0
32,239.3510055916086,2,1,1
12,434.97507000127007,0,3,0
59,163.48717917277872,0,1,0
68,148.9654119161425,0,3,0
33,248.31131997166142,0,4,0
24,379.4847433697454,0,5,0
56,253.0478638777491,0,4,0
51,248.49061280984506,0,5,0
49,409.9082169025801,1,5,0
19,333.2087962283361,0,2,0
57,384.8363445493645,1,3,0
24,278.7582801134896,0,5,0
59,346.11226744599037,0,4,0
29,186.36800656142208,1,4,0
41,129.53263541473194,0,4,0
54,138.7345545758558,1,1,1
9,243.68018243954538,1,4,1
50,50.97706033818318,0,5,0
70,177.8130036871673,2,4,0
20,171.6085802360027,2,4,0
15,433.91979005103434,1,3,0
36,174.0618434234204,2,3,0
41,290.6754288113112,1,2,1
38,348.2229797611654,1,5,0
63,174.75991255156993,1,2,1
20,335.7676070565447,2,4,0
11,104.13062221777727,0,4,0
53,246.96787176270274,1,4,0
58,142.55998436421237,1,2,0
32,70.73679459268803,2,5,0
46,368.85456216113243,1,4,0
14,349.65482438928916,0,2,0
34,370.49252825981307,1,5,0
55,124.36889053603852,2,4,0
1,302.3724556749812,0,4,0
9,307.0658128922766,1,4,0
57,108.12451416005514,0,4,0
5,110.95307396491476,0,4,0
24,96.05723172828795,4,5,0
26,91.84737424830615,0,4,0
17,71.63950067185239,0,5,0
22,344.70925814253553,1,4,0
54,265.95542225122773,2,4,0
41,217.05338196629572,0,3,0
44,250.9064518549091,3,4,1
13,473.5230113204285,1,2,1
21,318.14366224106607,2,3,0
41,409.30401471261905,1,4,0
11,163.12083104369196,1,3,0
32,430.60665669699614,1,3,0
6,376.8925564962687,1,3,0
39,129.7409855781643,3,4,0
69,362.53206370338967,0,4,0
58,438.524129141867,0,3,0
61,145.02014540274547,0,4,0
33,305.1800027538199,2,2,1
16,238.48207282565883,0,3,0
60,100.04639686815132,0,4,0
53,460.14851671129753,1,4,0
49,454.8881482149515,0,4,0
71,305.4247768825634,0,3,0
60,301.2831982524417,2,2,1
30,342.721612232595,1,4,0
62,431.4211415958603,2,5,0
39,127.77494684494373,1,5,0
11,68.37475326380998,2,5,0
46,234.54404808983722,0,5,0
45,386.9746264550325,4,2,1
52,303.3968243214258,2,4,0
70,87.53303210793773,1,4,0
68,249.82779855743826,1,5,0
63,242.85868257134274,0,4,0
4,180.46306308154956,2,4,0
3,462.2363320505443,1,4,0
57,354.74009756998885,1,5,0
21,201.57357182640243,3,4,1
20,478.44546386043436,2,4,0
14,107.80566961773745,1,2,1
22,79.85333202352811,1,4,0
20,103.82772106911474,0,3,0
11,395.7900029095268,3,3,1
52,89.81941266990233,1,3,0
68,408.5606155470641,0,4,0
24,150.26357443596376,3,4,1
71,114.60945480957199,0,4,0
5,131.31187693640112,1,4,0
43,105.43076138280519,1,3,0
14,196.01645121525135,2,5,0
51,191.53309197782625,2,5,0
58,492.4470906233979,1,2,0
20,399.9510939021262,0,5,0
69,65.4163494578173,2,4,0
51,106.5248277656511,1,4,0
50,43.08926433337503,3,4,1
66,64.8263512819838,1,3,0
16,250.73768785170637,0,5,0
22,362.32379942295404,1,2,0
20,67.20182002136852,1,3,0
70,488.1277152052691,1,4,0
61,430.2529521447732,0,4,0
70,39.815733220767854,1,3,0
20,499.0759723288427,1,4,0
1,370.8754797219257,0,4,0
17,414.46664887687075,2,3,0
62,183.20571860427074,0,3,0
25,231.4069800852176,1,3,0
32,466.2481999514748,0,5,0
36,231.9931301509873,1,1,0
27,117.84116928954506,1,4,0
20,225.81643993322822,2,4,0
57,377.05819625504864,0,2,1
57,390.22725903222545,2,3,0
59,430.88720136689034,2,5,0
29,59.370615565845014,2,2,0
4,260.7912424763928,0,4,1
34,448.7484414862587,1,4,0
6,310.7535542554164,0,5,0
38,237.4410221254757,2,3,0
60,37.534473983036364,0,5,0
64,347.5281277526887,3,5,1
8,450.5929780648968,0,2,0
69,223.39424700652154,0,3,0
6,383.7251528992532,0,4,0
47,385.1078820997447,0,4,0
43,384.35579399674606,1,3,0
40,347.1269559330746,1,5,0
45,477.6973120916506,0,4,0
3,84.50611455285818,2,3,0
6,178.22712033337442,0,3,0
55,417.52919334000893,0,5,0
29,225.90392216951545,1,2,1
49,39.36442380390229,1,3,0
11,59.05401565115568,1,1,1
70,362.54436419463383,1,3,0
40,462.70085374382603,3,5,0
46,476.0718172639057,2,5,0
37,268.6015297185102,0,4,0
36,28.87512113039273,2,5,0
26,233.2403809593999,3,5,0
63,158.90388958902923,1,3,0
