product_id,sku_name,categoria,costo_unitario,precio_lista
a4e67638,FAR-Navy-299,Farmacia,11.44,19.51
7ab9fcf2,ROP-SeaShell-457,Ropa Hombre,31.19,57.22
5d0ed090,MUE-LightCyan-401,Muebles,19.82,26.88
8eca8832,BEL-Sienna-383,Belleza,59.43,110.64
b2826fe8,ROP-LightSkyBlue-225,Ropa Hombre,55.19,75.12
c203ead4,ALI-MediumOrchid-106,Alimentos,25.73,38.76
0e63c2b9,JUG-MediumTurquoise-483,Juguetes,21.41,
9c5d6f3d,JAR-Indigo-248,Jardín,11.98,22.53
3efe4fdc,PEQ-LightSeaGreen-926,Pequeños Electrodomésticos,7.3,11.95
39f302ba,PEQ-Wheat-250,Pequeños Electrodomésticos,20.61,36.6
98b418cd,FRU-Aquamarine-575,Frutas y Verduras,,21.55
432782df,PAN-DarkOrchid-228,Panadería,19.78,28.3
96c97e2f,MOD-Blue-301,Moda,16.33,28.62
eeff0952,BIS-LightSalmon-650,Bisutería,18.16,31.05
df883bd0,BEL-PaleGoldenRod-374,Belleza,51.16,89.98
ada235f9,CON-DarkOrchid-728,Congelados,18.5,32.87
1bca5508,LIM-Crimson-325,Limpieza,6.14,8.59
38c90e43,JAR-Snow-188,Jardín,42.1,78.03
f7a878cc,BIS-MediumAquaMarine-931,Bisutería,72.31,94.46
445575c6,LÁC-DarkOrange-797,Lácteos,13.85,27.19
31a1bbc8,PEQ-GreenYellow-308,Pequeños Electrodomésticos,4.74,7.81
99ba6aad,FRU-Violet-520,Frutas y Verduras,6.98,9.45
601b7919,ROP-PowderBlue-390,Ropa Niño,28.3,48.84
4c8031a3,FAR-Sienna-993,Farmacia,37.4,52.14
3559fb7c,DES-PaleGreen-180,Despensa,33.81,56.36
b89456f6,AUT-Navy-824,Automotriz,36.01,66.87
1bfc85fb,HOG-Linen-506,Hogar,22.72,36.18
82e43d48,TEL-IndianRed-962,Televisión y Audio,18.99,32.73
c89f33ff,PAP-SlateGray-367,Papelería,12.82,23.07
5c838ff2,DES-LightSeaGreen-399,,90.56,135.07
463c0d85,HOG-Thistle-744,,6.29,8.41
,CON-DarkSlateGray-757,Congelados,20.57,33.7
5af0ef32,HIG-GhostWhite-477,Higiene Personal,19.58,33.93
b5dfc217,ROP-OldLace-794,Ropa Niño,31.66,50.84
76c43763,CUI-RosyBrown-985,Cuidado del Bebé,51.07,90.26
0b1df57b,ALI-MediumOrchid-606,Alimentos,28.26,54.25
686e961f,ROP-Ivory-863,Ropa Niño,28.14,41.73
cdd5569a,BEL-DarkGray-579,Belleza,25.73,37.98
70d5c9e0,JUG-DodgerBlue-436,Juguetes,28.98,42.82
e9f063b0,REL-Magenta-872,Relojería,14.5,28.48
2c2084bf,PAN-DarkSalmon-162,Panadería,4.13,5.58
792f59d6,CUI-DarkSlateGray-563,Cuidado del Bebé,44.06,70.65
8a8af3ef,ELE-Teal-999,Electrónica,18.24,36.42
5557f592,HOG-Gray-887,Hogar,23.84,43.57
d3699397,,Papelería,28.75,44.89
,ROP-Wheat-904,Ropa Mujer,9.46,18.62
2b25738d,CUI-DarkOrange-448,Cuidado del Bebé,25.42,39.05
c11581f9,INF-LightSalmon-460,Informática,16.54,29.22
cc58625f,CAR-Aquamarine-854,Carnes,16.17,31.95
99f4de57,MOD-LimeGreen-868,Moda,14.25,27.0
fe58f2b1,JUG-LemonChiffon-913,Juguetes,23.17,35.25
9712379c,LEN-DarkGreen-956,Lencería,10.62,17.31
b6f50171,TEL-LightGreen-964,Televisión y Audio,13.83,20.98
9b9a1ebb,DES-AntiqueWhite-643,Despensa,37.74,
f1ac0ca1,VIA-Beige-988,Viaje,47.98,79.29
e0f8c4b8,LÁC-Wheat-784q,Lácteos,26.87,43.16
 7458bfbe ,ACC-Plum-794,Accesorios Móviles,19.1,29.94
0a2869b2,DEP-LightYellow-360,Deportes,32.82,58.56
e721191b,JUG-SlateGray-169,Juguetes,25.39,49.27
e59a0ad5,ILU-Pink-804,Iluminaicón,18.56,31.79
d83c1ab6,BEB-Red-458,Bebidas,41.65,72.9
e639e71d,ROP-White-837,Ropa Niño,13.34,25.65
0a4d96dd,CON-DarkCyan-671,Congelados,30.84,59.5
1e2b237b,AUT-LightSlateGray-586,Automotriz,17.62,31.15
e387e94d,VIA-PapayaWhip-792,Viaje,21.27,39.05
527ff23d,LÁC-LightYellow-428,Lácteos,10.17,18.29
914cec32,FAR-LightCyan-409,Farmacia,46.81,88.7
430aaa37,TEL-DarkGray-162,Televisión y Audio,11.48,17.12
ba19891e,ILU-Aquamarine-683,Iluminación,55.78,75.81
c2a4ce31,CUI-Brown-481,Cuidado del Bebé,15.72,29.09
855d9460,PEQ-DeepSkyBlue-285,Pequeños Electrodomésticos,26.62,37.94
9de7d80c,INF-MediumSlateBlue-461,Informática,22.49,43.66
a2b7df6f,MOD-DarkRed-629,Moda,11.91,18.63
39672ece,ILU-Cornsilk-131,Iluminación,27.31,41.47
553e3112,SAL-Gold-693,,13.48,21.74
636e034f,MAS-Green-957,Mascotas,44.94,89.85
8c0ea985,ACC-Brown-369,Accesorios Móviles,18.51,29.81
d4ea8f41,PEQ-Lime-751,Pequeños Electrodomésticos,17.35,32.81
6a3be68f,MOD-Blue-686,Moda,60.17,91.23
933667dd,MUE-Green-271,Muebles,23.75,39.02
197b6bf3,JAR-Teal-541,Jardín,19.58,37.96
dbd5bb3e,CAM-WhiteSmoke-327,Camping,23.64,30.83
4075a3be,ACC-PaleTurquoise-566,Accesorios Móviles,15.29,24.86
3991a4f6,DEC-LemonChiffon-933,Decoración,7.82,13.07
f61f0583,DES-OldLace-340,Despensa,26.47,46.26
5d774908,BIS-LightSalmon-231,BISUTERÍA,18.99,36.94
03dbe89c,CAL-FireBrick-363,Calzado,23.9,33.08
b8c8fc9c,CAR-LightGoldenRodYellow-778,Carnes,8.24,15.79
405e969c,FRU-Gainsboro-246,Frutas y Verduras,26.2,50.15
c254d440,ELE-PaleVioletRed-154,Electrónica,29.38,47.24
a0723fe6,ROP-Brown-969,Ropa Hombre,25.44,38.0
1198b42c,ELE-Green-292,Electrónica,33.48,56.22
10b9850f,CAM-Black-168,Camping,32.22,51.45
bb55848d,TEL-MediumSpringGreen-487,Televisión y Audio,19.15,27.98
870565f3,BEL-Aquamarine-927,Belleza,13.51,23.41
f6e90403,ALI-NavajoWhite-371,Alimentos,19.46,
4f88b595,FAR-Lime-821,Farmacia,29.85,55.5
665d50e2,ROP-Beige-812,Ropa Niño,12.69,23.22
9097e8fd,CUI-MistyRose-909,Cuidado del Bebé,21.6,37.1
ad97b817,BIS-DarkGray-817,Bisutería,57.94,97.26
6c99fcb0,ACC-MintCream-738,Accesorios Móviles,29.02,50.71
9ce1a0dc,SAL-PapayaWhip-237,Salud,33.24,58.09
55387b6e,ACC-Indigo-227,Accesorios Móviles,19.38,35.48
00805f2d,DEP-SlateBlue-863,Deportes,17.52,32.53
7dcaeb05,DEC-Maroon-132,Decoración,29.84,47.52
8fd30964,PEQ-Tan-530,Pequeños Electrodomésticos,23.7,44.75
71258bba,DEP-SandyBrown-252,Deportes,10.98,15.28
3592a26c,CON-Gray-456,Congelados,101.05,191.54
6dc6f989,TEL-OldLace-604,Televisión y Audio,15.4,20.46
de4d1124,ROP-Red-962,Ropa Mujer,19.89,29.07
42f91a0c,BIS-MediumSlateBlue-242,Bisutería,7.49,11.78
882e0d4d,INF-BlanchedAlmond-420,Informática,10.8,17.31
86197eac,PES-MediumTurquoise-725,Pescados,27.97,44.48
7e205649,ROP-BurlyWood-280,Ropa Hombre,46.58,76.57
d4fbd46d,BEB-DarkKhaki-243,Bebidas,34.81,60.98
f8440484,HOG-SpringGreen-426,Hogar,5.89,8.89
edf58691,CAR-Lavender-470,Carnes,12.38,24.6
c691bdee,HIG-LightGoldenRodYellow-367,Higiene Personal,48.87,74.01
636b46d2,DEC-OldLace-310,Decoración,35.83,70.1
8e388b69,SAL-AntiqueWhite-463,Salud,8.7,
23f57e84,FAR-AliceBlue-247,Farmacia,31.07,54.83
4b3ae4f6,CAM-DarkKhaki-992,Camping,,37.2
2a4cbc29,CON-Gold-417,Congelados,28.89,54.22
d3ee9c33,PAP-DarkKhaki-742,Papelería,22.56,38.79
c7266b19,SAL-Bisque-694,Salud,48.52,83.32
92b0eaf7,FRU-LightYellow-524,Frutas y Verduras,34.18,48.88
f6011195,CON-Gold-599,Congelados,9.2,14.78
5cc214c7,CUI-GoldenRod-158,Cuidado del Bebé,17.48,26.03
2023f69c,FRU-Turquoise-543,Frutas y Verduras,47.09,86.88
3114d01e,,Viaje,8.69,13.01
48323cab,CON-MediumAquaMarine-534,Congelados,34.71,48.56
c84cdbbe,ILU-SANDYBROWN-843,Iluminación,16.9,29.71
f3127b68,HOG-MediumBlue-780,Hogar,7.94,13.59
8033ff53,AUT-DarkSlateBlue-454,Automotriz,48.9,83.42
,ELE-PaleVioletRed-440,Electrónica,10.17,15.55
6e48a2aa,INF-Lavender-657,Informática,23.8,36.91
55986ef8,VIA-SlateBlue-201,Viaje,12.92,21.52
0cff5fad,PES-Purple-226,Pescados,20.14,29.63
dfbb4527,ROP-DarkGray-193,Ropa Mujer,18.22,25.0
69ec5d3e,ROP-Ivory-401,Ropa Niño,24.4,43.38
3a6cc5e8,LIM-DarkTurquoise-471,Limpieza,57.83,90.98
26030885,LIM-PaleVioletRed-591,Limpieza,,91.51
be77c9a3,MUE-GoldenRod-307,Muebles,39.88,69.04
589365bb,LIM-Violet-776,Limpieza,21.73,36.76
34a487b5,DEP-MediumSpringGreen-650,Deportes,21.35,40.43
db19006f,FER-Azure-479,Ferretería,17.11,33.18
cb492e4a,BIS-MistyRose-442,Bisutería,47.61,94.27
22793a02,DEP-DarkKhaki-778,Deportes,11.85,22.01
bf602c6e,CAM-SaddleBrown-238,Camping,13.2,23.15
2d21788c,ELE-MediumAquaMarine-195,Electrónica,22.76,42.94
508d0d5a,PEQ-YellowGreen-504,Pequeños Electrodomésticos,86.18,131.57
4c2b2198,FRU-RoyalBlue-660,Frutas y Verduras,9.42,13.44
,TEL-Fuchsia-590,Televisión y Audio,13.82,19.4
f7725beb,VIA-Teal-215,Viaje,14.56,26.36
6aad1073,DEP-IndianRed-683,Deportes,27.79,40.35
6e8dd3c8,ALI-Red-717,Alimentos,36.42,62.53
9b1e4c62,ALI-Beige-539,Alimentos,11.69,19.36
e997f028,CAL-Sienna-368,Calzado,25.71,44.74
4cf5e55d,REL-OliveDrab-660,Relojería,12.16,17.58
f160082a,REL-MediumBlue-418,Relojería,16.78,26.23
b33cf040,DEP-DarkSlateBlue-792,Deportes,15.87,22.75
2d941e6f,REL-HoneyDew-998,Relojería,13.16,18.99
caccd4fd,HOG-SeaShell-131,Hogar,12.71,17.38
aa15408a,ILU-DarkSlateGray-598,Iluminación,13.77,21.58
52b72260,LÁC-OliveDrab-448,Lácteos,25.07,44.48
5e2bc41b,CUI-AntiqueWhite-222,Cuidado del Bebé,29.31,44.76
ff6537a4,FER-Magenta-533,Ferretería,17.66,26.34
60ff12b8,JUG-Cyan-123,Juguetes,17.61,27.59
adcf541e,PES-YellowGreen-600,Pescados,71.71,134.94
79d7dd97,BEL-Green-264,Belleza,14.85,23.52
68a15d86,FAR-Orange-697,Farmacia,10.41,13.72
b6f8adf1,PES-Lime-878,Pescados,31.88,49.63
,JUG-SeaShell-265,Juguetes,21.85,34.25
9721d048,LÁC-LightBlue-425,Lácteos,43.31,77.33
012b96cc,AUT-Tomato-424,Automotriz,19.73,31.9
2e4f66d9,LÁC-Red-269,Lácteos,22.1,43.87
48acfa8e,TEL-Orchid-175,Televisión y Audio,11.57,22.97
cbed3b4b,HOG-DarkCyan-530,Hogar,,24.58
2aed1be4,SAL-YellowGreen-858,Salud,41.72,74.52
3f1e2f2a,PAP-Salmon-923,Papelería,17.46,28.79
a03e9898,FRU-MediumPurple-672,Frutas y Verduras,12.39,17.73
17964189,ELE-LightYellow-857,Electrónica,17.79,32.12
7f20f54e,ILU-Crimson-228,Iluminación,25.29,39.37
1a02cd44,REL-GoldenRod-829,Relojería,19.05,32.03
0aa79cb5,TEL-Crimson-862,Televisión y Audio,6.44,12.65
72c55391,BEL-SlateBlue-733,Belleza,26.15,42.69
0019ec29,CAR-Pink-364,Carnes,29.79,57.7
d6a5214f,FAR-Chartreuse-462,Farmacia,37.9,56.48
0c0fb9a7,VIA-LightYellow-802,Viaje,11.24,21.35
d32b675b,REL-Blue-382,Relojería,23.24,45.89
360790b2,HIG-Gold-408,Higiene Personal,22.67,36.63
a82cd7b2,BEL-Linen-483,Belleza,31.19,48.25
15544ebd,PES-DarkKhaki-449,Pescados,31.58,62.22
42bea36d,FER-LemonChiffon-387,Ferretería,45.31,66.11
6ab69411,REL-Peru-524,Relojería,13.13,22.48
29f0130d,FER-Aqua-304,Ferretería,18.19,28.18
fb616370,DES-Red-455,Despensa,52.72,89.1
3763e705,CAM-MidnightBlue-808,Camping,,19.18
04579870,PAN-Coral-783,Panadería,14.59,22.07
ad0169fd,SAL-Gold-683,Salud,134.79,179.95
f0e641df,FER-LightSkyBlue-233,Ferretería,100.82,131.56
df828b6e,CAR-MediumOrchid-388,Carnes,10.09,17.15
f249146c,ILU-CornflowerBlue-855,Iluminación,8.85,12.62
f1769f8f,CAR-Red-546,Carnes,18.85,36.49
bfa5b810,ACC-Red-377,Accesorios Móviles,13.89,26.82
e98a7e5b,CUI-PowderBlue-428,Cuidado del Bebé,86.92,146.79
1a9654a3,ELE-DarkOrange-301,Electrónica,17.42,28.09
36788a92,FRU-DarkSlateBlue-620,Frutas y Verduras,15.12,23.81
fffa5158,SAL-RosyBrown-975,Salud,17.96,28.08
44864ac5,BIS-ForestGreen-360,Bisutería,37.79,58.71
b5491acb,MUE-SeaShell-816,Muebles,12.9,23.78
df97ddd1,HIG-DimGray-146,Higiene Personal,35.48,69.97
fecc4482,CON-Tomato-585,Congelados,14.88,21.23
3114ccc7,FAR-NavajoWhite-463,Farmacia,23.17,38.89
82add520,DEP-Fuchsia-154,Deportes,7.27,9.47
5a06f88c,LÁC-PaleVioletRed-175,Lácteos,20.28,33.26
,ALI-WhiteSmoke-792,Alimentos,43.18,84.04
6a75d4e4,FRU-IndianRed-910,Frutas y Verduras,21.27,28.03
80c89625,FRU-DarkSlateBlue-239,Frutas y Verduras,61.16,85.41
fbbfd498,DES-MintCream-990,Despensa,26.02,39.28
97144882,LIM-Orchid-717,Limpieza,38.67,75.6
024d0d07,DES-SlateBlue-494,Despensa,15.34,22.49
270736ad,ELE-MediumSeaGreen-601,Electrónica,35.46,53.97
88712e8e,AUT-MediumPurple-983,Automotriz,20.87,28.09
921fe8fa,HIG-Maroon-343,Higiene Personal,28.09,37.75
1d63d30c,HIG-DeepSkyBlue-606,Higiene Personal,13.28,24.44
1d61a94b,VIA-MediumVioletRed-482,Viaje,8.22,15.63
c6f9a6f5,INF-DarkBlue-974,Informática,23.53,31.35
91eecf16,JAR-DarkOrchid-419,Jardín,24.92,40.72
8a379928,LIM-LimeGreen-344,Limpieza,10.69,14.01
05cb2626,CAR-Purple-200,Carnes,24.92,38.84
b3605f94,LIM-MediumVioletRed-524,Limpieza,21.18,42.2
d19d73d7,BEL-Magenta-131,Belleza,7.7,10.98
57041db9,CON-Lime-282,Congelados,19.29,35.99
692e1604,PAN-Lavender-340,Panadería,9.34,17.66
8a71259c,DEP-LightBlue-574,,23.13,32.77
f2beec20,ELE-Snow-346,Electrónica,32.35,53.47
1b59d9f7,ROP-Khaki-862,ROPA NIÑO,40.12,78.19
fa5346ab,ROP-DeepSkyBlue-856,Ropa Niño,22.86,36.16
9c6b258e,ROP-Fuchsia-568,Ropa Niño,12.13,18.62
dbee3ce6,FAR-BlueViolet-203,Farmacia,23.86,32.47
e70f2bb9,HOG-BlueViolet-716,Hogar,26.97,47.2
02611fee,DEC-Blue-399,Decoración,25.57,33.87
a8e3ded7,CUI-DarkSlateGray-132,Cuidado del Bebé,20.67,36.96
b5a9ebd6,CON-ForestGreen-503,Congelados,28.85,40.62
fa013701,ROP-AliceBlue-357,Ropa Niño,11.13,15.65
193e3db1,PAN-DarkSeaGreen-709,Panadería,11.79,22.98
deb1595b,BEB-DarkSeaGreen-574,Bebidas,9.87,13.5
bac23635,JAR-DimGray-694,Jardín,11.89,17.55
15a925c2,ROP-OldLace-317,Ropa Mujer,53.07,85.99
8b191bc5,ILU-Purple-734,Iluminación,11.48,18.35
cff80078,JUG-LightCyan-538,Juguetes,49.93,84.1
fe512506,CAL-MistyRose-475,Calzado,12.05,16.41
a4646e12,ALI-DarkGoldenRod-199,Alimentos,21.46,41.45
7bc48a2e,JUG-Yellow-586,Juguetes,14.76,27.35
a1a61e5c,HOG-Chocolate-355,Hogar,35.83,50.08
89a7d596,ROP-LightGray-830,Ropa Niño,12.48,21.11
bb0cb23d,DES-Azure-163,Despensa,,30.33
4a71b110,MUE-Beige-800,Muebles,42.79,68.78
07f3f54b,MUE-LightGoldenRodYellow-341,Muebles,19.26,30.87
44acc2db,DES-MediumOrchid-600,Despensa,25.62,43.75
435622df,HIG-GoldenRod-802,Higiene Personal,23.81,44.71
5c2e8b42,LÁC-BlanchedAlmond-499,Lácteos,25.83,43.88
f967b862,LIM-SeaShell-253,Limpieza,,71.86
c33def35,DES-DarkCyan-675,Despensa,8.92,12.76
ef141ce5,AUT-NavajoWhite-403,Automotriz,15.22,25.51
d81af33b,TEL-SkyBlue-161,Televisión y Audio,14.3,20.43
e79d874a,JUG-DarkTurquoise-627,Juguetes,36.51,51.27
33bc7341,LIM-White-434,Limpieza,26.4,44.52
2e982303,MOD-Coral-750,Moda,75.35,142.49
3998d7df,BEL-LawnGreen-418,Belleza,22.44,39.31
508b9688,FRU-AntiqueWhite-678,Frutas y Verduras,13.66,20.3
87fba669,HOG-HotPink-651,Hogar,25.35,46.52
6ea533bf,HIG-SeaShell-353,Higiene Personal,47.23,67.46
8e7281f8,FRU-DarkGreen-846,Frutas y Verduras,88.19,138.33
fd60a697,BEL-DarkSalmon-634,Belleza,11.0,16.76
fde4f597,REL-MediumBlue-748,Relojería,24.63,33.95
8577cdc4,PES-IndianRed-973,Pescados,24.92,44.36
e695c476,BIS-LightSlateGray-243,Bisutería,36.38,63.54
00b8a58c,CUI-FireBrick-199,Cuidado del Bebé,10.97,16.43
dc8eab65,LEN-BurlyWood-304,Lencería,17.45,23.01
9308a622,HIG-SaddleBrown-103,Higiene Personal,15.27,19.98
a68b3ca3,ROP-Orchid-922,Ropa Hombre,15.05,29.72
8375a94c,CUI-Silver-606,Cuidado del Bebé,11.17,15.31
0c75a8e9,REL-Maroon-156,Relojería,9.54,18.28
efd1bc45,MOD-GoldenRod-358,Moda,25.1,43.75
7b7c1f60,MAS-Aquamarine-484,Mascotas,24.79,39.49
6a112e88,AUT-Olive-564,Automotriz,19.4,26.78
50734c37,,Limpieza,7.57,13.22
0a7a9ef6,SAL-GreenYellow-263,Salud,27.85,48.33
6c150e01,DEC-SeaShell-425,Decoración,19.89,39.59
1025f28f,CON-SlateGray-510,Congelados,26.86,38.05
8ded7ce8,HOG-Fuchsia-451,Hogar,19.13,32.82
ba6cbcfa,SAL-Chocolate-386,Salud,21.52,30.62
6fef16bd,CAR-SkyBlue-313,Carnes,32.59,44.59
cbbc681b,FAR-LawnGreen-163,Farmacia,27.81,38.94
99e2c8aa,ROP-MidnightBlue-117,Ropa Mujer,,
405f36c5,BIS-AliceBlue-806,Bisutería,12.94,19.17
e3e9ca2e,DEP-Teal-384,Deportes,51.34,94.7
,SAL-Chartreuse-857,Salud,11.03,19.35
f197684c,PES-FloralWhite-498,Pescados,9.89,13.4
9e94726c,INF-FloralWhite-473,Informática,27.98,36.63
4cb1c764,ELE-DarkOrchid-474,Electrónica,18.08,
5cfbdb93,CON-Maroon-451,Congelados,16.29,30.1
e756692c,CUI-IndianRed-331,Cuidado del Bebé,17.84,30.51
790d23f7,LÁC-MidnightBlue-753,Lácteos,35.01,66.14
ef1d4d6a,,Higiene Personal,8.79,13.41
e002cd2d,LEN-LavenderBlush-768,Lencería,15.97,25.56
07aeb44f,ACC-DarkOrange-647,Accesorios Móviles,39.97,61.2
dab70f1f,FAR-NavajoWhite-768,Farmacia,65.1,124.79
f5afecfb,HOG-LightCoral-654,Hogar,40.49,67.46
a38f1709,ACC-SkyBlue-112,Accesorios Móviles,17.71,28.07
6f686deb,MUE-YellowGreen-791,,25.14,33.63
c54b4825,HIG-Black-389,Higiene Personal,23.17,32.5
45467150,ELE-DarkOrange-884,Electrónica,5.76,10.14
473243b0,ROP-MediumBlue-643,Ropa Niño,34.16,54.72
25358620,,Ropa Niño,70.58,133.24
367073da,LÁC-DarkSlateBlue-919,Lácteos,37.85,68.06
691e6f90,ILU-CornflowerBlue-597,Iluminación,15.25,27.55
936981c0,DES-LightSalmon-975,Despensa,9.99,13.49
fa32e32f,BEL-DarkCyan-933,Belleza,12.02,17.05
a6e64cba,DEC-PowderBlue-544,Decoración,23.27,31.26
63282e5a,MOD-DarkOrange-468,Moda,29.12,38.57
,BEL-Chocolate-398,Belleza,16.19,32.14
e8c2407f,MAS-Khaki-324,Mascotas,23.59,42.8
4dd695d2,TEL-Linen-949,Televisión y Audio,41.17,60.87
,ROP-BlanchedAlmond-365,Ropa Hombre,43.13,63.59
d4cb7a50,BEB-Violet-327,Bebidas,23.58,31.07
16bcccab,JUG-Pink-621,Juguetes,8.26,13.15
fe0701e9,BIS-DarkTurquoise-987,Bisutería,33.58,44.32
e89541e1,MOD-DarkSlateGray-523,Moda,12.3,24.36
68f9d2c8,DEC-MidnightBlue-747,Decoración,19.51,27.54
ef09be2b,FER-DarkSlateBlue-171,Ferretería,54.23,96.56
7e876a6c,PAN-DarkBlue-534,Panadería,12.38,17.69
a9398aec,REL-LightBlue-909,Relojería,29.46,45.04
,REL-OliveDrab-387,Relojería,8.82,15.88
67e35516,HOG-DarkSalmon-524,Hogar,23.99,44.66
01822967,PEQ-MediumBlue-973,Pequeños Electrodomésticos,9.14,12.23
9f5d9388,AUT-MediumSlateBlue-686,Automotriz,23.25,36.98
71743288,AUT-FloralWhite-825,Automotriz,24.09,39.51
152b16ea,CON-Gainsboro-145,Congelados,7.81,12.27
350e5ef2,CAL-LightGray-314,Calzado,12.47,19.64
a04398bb,FRU-YellowGreen-602,Frutas y Verduras,15.12,22.54
b47d2f04,HIG-Bisque-687,Higiene Personal,25.14,40.74
8e31b7f5,JUG-ForestGreen-802,Juguetes,15.65,24.41
2afe2146,LIM-OldLace-902,Limpieza,16.22,23.65
e5c2ed5e,SAL-Ivory-529,Salud,9.09,14.18
36397949,BIS-DarkSlateBlue-204,Bisutería,17.61,27.59
2dcda408,LIM-Azure-136,Limpieza,6.53,9.88
a7c931c5,DEC-YellowGreen-566,Decoración,17.37,30.27
737744bd,FAR-SandyBrown-594,Farmacia,23.73,32.92
075dff98,,Alimentos,19.33,33.45
e3f532b4,REL-Violet-579,Relojería,15.56,30.69
73a1ce96,MAS-Azure-705,Mascotas,12.78,17.46
6beaa763,PES-Khaki-790,Pescados,6.9,9.76
770617eb,MOD-Brown-625,Moda,18.81,28.1
04e45292,BIS-BlueViolet-996,Bisutería,6.04,9.16
dd7686fc,LIM-DarkBlue-159,Limpieza,20.87,36.15
1c45e0d6,JUG-LawnGreen-711,Juguetes,17.18,31.91
299c510d,REL-LightGreen-183,Relojería,20.87,34.5
b3a58954,LIM-Indigo-211,Limpieza,11.31,15.42
8c398e0b,LEN-BurlyWood-939,Lencería,27.51,54.09
ef36be73,DEP-LightYellow-388,Deportes,17.39,32.42
209df02a,HOG-Orchid-630,Hogar,14.73,25.81
37d37a6e,SAL-SandyBrown-104,Salud,10.92,17.51
14282fe6,PAN-Thistle-758,Panadería,23.02,45.17
e0c53028,REL-LightSteelBlue-118,Relojería,21.96,29.99
82c953cb,ILU-NavajoWhite-782, Iluminación ,29.6,47.92
815a2fb1,ROP-Gray-473,Ropa Niño,23.62,46.77
782aadab,CON-GhostWhite-135,Congelados,19.96,36.96
fcd88f40,ILU-AntiqueWhite-379,Iluminación,15.0,29.06
,AUT-GreenYellow-471,Automotriz,17.25,34.13
4305d50c,CUI-RosyBrown-341,Cuidado del Bebé,12.64,19.26
f4f51b15,JAR-DarkGray-113,Jardín,18.25,26.8
fb42be3e,DEP-PeachPuff-111,Deportes,29.51,40.7
084e5d0d,CAM-BurlyWood-114,Camping,23.09,39.25
,CUI-MeiumSeaGreen-970,Cuidado del Bebé,13.63,22.16
f7027d3b,BEB-SpringGreen-918,Bebidas,,43.08
